Stress_Period,Precipitation,SW Irrigation,GW Irrigation,ET,Recharge,Runoff,Storage,Error
1,4066513,1620580,632261,-8797870,-290575,0,2769090,0
2,5971931,0,0,-3031579,-494619,0,-2445733,0
3,3847915,0,0,-709098,-315397,0,-2823421,0
4,4629442,0,0,-947483,-401325,0,-3280635,0
5,4771590,0,0,-1235589,-620132,0,-2915869,0
6,16933489,27254,227853,-13214473,-2734838,0,-1239285,0
7,6318744,2210486,3994738,-13794961,-619879,0,1890873,0
8,5365874,4811348,5746213,-14967983,-497896,0,-457556,0
9,5838298,7437637,8874455,-18573166,-1136154,0,-2441070,0
10,4285536,3899153,14458805,-22877003,-1850904,0,2084412,0
11,1465048,1619622,8549714,-16465444,-1050447,0,5881506,0
12,372378,1435289,2982006,-10448733,-744000,0,6403061,0
13,3438474,1320889,595260,-7292377,-474244,0,2411997,0
14,13615465,0,0,-2277227,-1852009,0,-9486229,0
15,10055835,0,0,-699281,-2732271,0,-6624282,0
16,9275055,0,0,-953252,-2821808,0,-5499995,0
17,662721,0,0,-1272687,-193392,0,803358,0
18,7735621,138799,747714,-11965595,-980942,0,4324403,0
19,6684325,3180152,5239508,-17196096,-515003,0,2607113,0
20,2337380,7701746,9242243,-20088515,-194298,0,1001445,0
21,12947687,6031753,9775194,-24617994,-2302891,0,-1833749,0
22,1389836,4405422,14765269,-22130969,-1739556,0,3309998,0
23,0,1105998,10410956,-16803974,-1186436,0,6473456,0
24,858482,2630676,2691087,-11334054,-817595,0,5971405,0
25,12384493,1517452,470616,-9778112,-1585527,0,-3008921,0
26,5827405,0,0,-3301064,-727515,0,-1798827,0
27,22447534,0,0,-739706,-5980252,0,-15727577,0
28,26584368,0,0,-741598,-13259327,0,-12583443,0
29,874791,0,0,-1029658,-472859,0,627726,0
30,9874164,22555,164926,-12034094,-908076,0,2880526,0
31,9819852,823666,1510042,-15259182,-884896,0,3990518,0
32,19484765,5709841,6844134,-22170044,-3615214,0,-6253482,0
33,4549767,9482569,11311079,-27449173,-3793051,0,5898808,0
34,0,9787708,12139495,-24571630,-2768361,0,5412788,0
35,4894143,5058107,6613023,-20296257,-2208559,0,5939542,0
36,1182363,4268055,2291329,-14366572,-1205985,0,7830810,0
37,3719191,1475141,457493,-9645289,-688035,0,4681499,0
38,3452041,0,0,-1938462,-257174,0,-1256405,0
39,12999486,0,0,-717291,-2064046,0,-10218149,0
40,10455993,0,0,-715057,-3532939,0,-6207998,0
41,265088,0,0,-1017380,-81177,0,833469,0
42,3216089,158495,787685,-13131445,-190152,0,9159328,0
