"kstp","kper","storage_in","constant_head_in","wells_in","drno_drains_in","recharge_in","et_segments_in","stream_leakage_in","total_in","storage_out","constant_head_out","wells_out","drno_drains_out","recharge_out","et_segments_out","stream_leakage_out","total_out","difference","discrepancy"
31,1,11237970,0,2284088.75,0,227563.4062,0,12003428,25753050,5758804.5,0,616969.75,256441.25,0,190192.9844,18942544,25764952,-11902,-0.05
30,2,3944792,0,2210408.75,0,381720.7188,0,15335316,21872238,4200692.5,0,0,251254.5625,0,19843.2187,17403700,21875492,-3254,0.02
31,3,13225678,0,4568184.25,0,473186.0937,0,29549184,47816234,8998232.5,0,616969.75,507859.1875,0,190192.9844,37517640,47830892,-14658,-0.05
31,4,5225696,0,4494499.75,0,701567.1563,0,36651524,47073286,7751965.5,0,0,484343.1875,0,19843.2187,38811512,47067668,5618,0.04
28,5,14740390,0,6631224.25,0,995816.5937,0,52430596,74798026,13280732.5,0,616969.75,710242.4375,0,190192.9844,60047976,74846108,-48082,-0.07
31,6,7144582,0,6778579.75,0,3103261.1563,0,64870628,81897046,13580611.5,0,216765.5,714855.6875,0,19843.2187,67470488,82002564,-105518,-0.03
30,7,17574314,0,9869004.25,0,1524040.3437,0,77072460,106039818,14778456.5,0,4473071,945744.4375,0,190394.1719,85715080,106102748,-62930,-0.06
31,8,9049422,0,10124285.75,0,3528503.6563,0,94179300,116881510,16110051.5,0,5748309,963659.5625,0,23669.3281,94157896,117003588,-122078,-0.02
30,9,25540806,0,10382784.25,0,2574475.3437,0,99389292,137887354,15001340.5,0,12889641,1185313.4375,0,203648.4688,108725608,138005548,-118194,-0.07
31,10,22224438,0,10655191.75,0,5303827.1563,0,104859252,143042694,16215099.5,0,19247511,1171815.8125,0,40276.6874,106572792,143247508,-204814,-0.04
31,11,37617062,0,10382784.25,0,3687591.8437,0,105389372,157076826,15037016.5,0,25244781,1218621.4375,0,450841.4688,115250120,157201356,-124530,-0.07
30,12,27285442,0,10655191.75,0,6038557.1563,0,109554964,153534150,18368987.5,0,22109099,1195555.8125,0,219672.0312,111845512,153738868,-204718,-0.04
31,13,40413654,0,12666864.25,0,4101038.8437,0,111691884,168873466,19580944.5,0,25837369,1292283.1875,0,522620.5313,121764760,168997932,-124466,-0.06
30,14,28623154,0,12865591.75,0,7610587.1563,0,121972292,171071590,26258295.5,0,22109099,1326699.0625,0,233426.3437,121351912,171279476,-207886,-0.04
31,15,41093222,0,14950944.25,0,6613402.8437,0,133416252,196073850,30565420.5,0,25837369,1455426.9375,0,522620.5313,137824152,196204940,-131090,-0.05
31,16,28820450,0,15149671.75,0,10280741.1563,0,143919268,198170118,31742275.5,0,22109099,1502679.0625,0,233426.3437,142792872,198380404,-210286,-0.04
29,17,41826678,0,17087664.25,0,6800394.8437,0,160969276,226684026,37267396.5,0,25837369,1631485.6875,0,522620.5313,161572600,226831436,-147410,-0.04
31,18,30068786,0,17433751.75,0,11208819.1563,0,172430308,231141638,34680387.5,0,22385747,1706053.3125,0,233426.3437,172439848,231445492,-303854,-0.06
30,19,44806366,0,20325504.25,0,7287954.8437,0,194625372,267045242,42308020.5,0,30377781,1840573.6875,0,522629.4688,192224792,267273772,-228530,-0.05
31,20,37268858,0,20779519.75,0,11381241.1563,0,198014212,267443782,35291707.5,0,31145455,1924408.8125,0,239862.5312,199219880,267821332,-377550,-0.06
30,21,55185470,0,20839224.25,0,9511374.8437,0,206190172,291726266,42601868.5,0,39544089,2035835.4375,0,534223.4688,207241240,291957228,-230962,-0.05
31,22,49728442,0,21310363.75,0,13100687.1563,0,206083140,290222598,35365803.5,0,44941143,2042208.3125,0,322019.0937,207960168,290631380,-408782,-0.06
31,23,69651902,0,20839224.25,0,10755838.8437,0,210383324,311630330,42615572.5,0,54462849,2040732.6875,0,792659.9063,211954200,311865964,-235634,-0.05
30,24,54546282,0,21310363.75,0,13925867.1563,0,209194692,298977158,37928563.5,0,47484471,2054665.3125,0,435851.9687,211483496,299387092,-409934,-0.06
31,25,71631878,0,23123304.25,0,12188658.8437,0,219944764,326888634,51455060.5,0,54929401,2128128.4375,0,793870.4063,217825752,327132204,-243570,-0.04
30,26,55573018,0,23520763.75,0,14542607.1563,0,224046052,317682374,47275467.5,0,47484471,2172171.0625,0,435851.9687,220728680,318096660,-414286,-0.06
31,27,71977334,0,25407384.25,0,17786638.8437,0,245013340,360184762,66728852.5,0,54929401,2265312.4375,0,793870.4063,235700024,360417452,-232690,-0.04
31,28,56678354,0,25804843.75,0,28564285.1563,0,254338084,365385542,64759067.5,0,47484471,2644846.0625,0,435851.9687,250521608,365845844,-460302,-0.06
28,29,74312486,0,27470424.25,0,18310798.8437,0,274630588,394724346,70258484.5,0,54929401,2552263.9375,0,793870.4063,266491160,395025196,-300850,-0.04
31,30,60159642,0,28088923.75,0,29482877.1563,0,298869124,416600518,73648459.5,0,47484471,3109259.5625,0,435851.9687,292390952,417069012,-468494,-0.05
30,31,76686502,0,30708264.25,0,19156798.8437,0,311295932,437847546,72472788.5,0,54979801,2841071.4375,0,793888.6563,307134936,438222444,-374898,-0.05
31,32,62717018,0,31434691.75,0,30677865.1563,0,344096324,468925830,78689195.5,0,51527591,3439791.0625,0,436305.5937,335296552,469389460,-463630,-0.04
30,33,87046838,0,31221984.25,0,21280918.8437,0,347911740,487461562,73432004.5,0,65646841,3292693.4375,0,814898.7813,344764440,487950828,-489266,-0.06
31,34,74228394,0,31965535.75,0,33380941.1563,0,364324484,503899270,79021035.5,0,62852359,3924065.5625,0,475399.2187,358127848,504400788,-501518,-0.04
31,35,96751350,0,31221984.25,0,23461086.8437,0,359235964,510670458,73544260.5,0,75889129,3555467.4375,0,835189.9063,357383256,511207212,-536754,-0.06
30,36,79020250,0,31965535.75,0,34414621.1563,0,375528516,520928838,82408075.5,0,65022631,4083483.5625,0,579089.0937,369280744,521374100,-445262,-0.04
31,37,99337430,0,33506064.25,0,24088278.8437,0,373988796,530920634,78598148.5,0,76344329,3724256.4375,0,901436.0313,371899672,531467756,-547122,-0.05
30,38,80068698,0,34175935.75,0,34613221.1563,0,393112388,541970182,87129371.5,0,65022631,4252878.5625,0,623640.9687,385390696,542419220,-449038,-0.04
31,39,99830182,0,35790144.25,0,25850442.8437,0,397199164,558670074,84375156.5,0,76344329,3929807.4375,0,901436.0313,393667416,559218156,-548082,-0.05
31,40,80537178,0,36460015.75,0,37897981.1563,0,418434756,573329798,93036843.5,0,65022631,4468518.5625,0,623640.9687,410658408,573809940,-480142,-0.04
28,41,100914534,0,37853184.25,0,25929514.8437,0,419726396,584423802,86037972.5,0,76344329,4136885.4375,0,901436.0313,417594520,585015276,-591474,-0.05
31,42,81433978,0,38744095.75,0,38059429.1563,0,446124548,604361862,95342203.5,0,65759399,4708507.5625,0,623640.9687,438442664,604876308,-514446,-0.04
30,43,104605654,0,41091024.25,0,25984594.8437,0,444824252,616505722,87985460.5,0,81618457,4372815.4375,0,904817.4063,442286872,617168620,-662898,-0.06
31,44,84934586,0,42089863.75,0,38513889.1563,0,474614468,640152582,97390827.5,0,73912199,4949421.5625,0,637459.2187,463848680,640738324,-585742,-0.04
30,45,118056838,0,41604864.25,0,26778394.8437,0,456994812,643435130,88079636.5,0,93836361,4570563.4375,0,926920.6563,456745944,644159724,-724594,-0.06
31,46,102060506,0,42620831.75,0,39662749.1563,0,480604676,664948614,97449819.5,0,91780487,4957472.5625,0,952445.9687,470397928,665537812,-589198,-0.04
31,47,131769686,0,41604864.25,0,28008226.8437,0,460348028,661730938,88135412.5,0,108194649,4573580.4375,0,1090229.7813,460463832,662458092,-727154,-0.06
30,48,107125498,0,42620831.75,0,40516669.1563,0,483230724,673493638,99461179.5,0,95148023,4964777.5625,0,1069010.2187,473443560,674086164,-592526,-0.04
31,49,134729094,0,43888944.25,0,28250770.8437,0,463298364,670167162,92413956.5,0,108886761,4599452.4375,0,1171254.0313,463825112,670896876,-729714,-0.06
30,50,108362122,0,44831231.75,0,42893629.1563,0,488369732,684456710,105994571.5,0,95148023,5048150.5625,0,1069010.2187,477791848,685051284,-594574,-0.04
31,51,135487926,0,46173024.25,0,30700018.8437,0,474703292,687064314,101718676.5,0,108886761,4710541.4375,0,1171254.0313,471311960,687799532,-735218,-0.06
31,52,110333802,0,47115311.75,0,75840429.1563,0,536400644,769690118,156845755.5,0,95148023,6291169.5625,0,1069010.2187,510978472,770332180,-642062,-0.03
28,53,144181126,0,48236064.25,0,30911026.8437,0,513058748,736387066,107532820.5,0,108886761,5432203.4375,0,1171254.0313,514160152,737183468,-796402,-0.07
31,54,113745226,0,49399391.75,0,95263045.1563,0,580877636,839285254,173341163.5,0,95148023,7702839.5625,0,1069010.2187,562712808,839973524,-688270,-0.02
30,55,150145782,0,51473904.25,0,32129986.8437,0,551176636,784926330,110164564.5,0,108896841,6031869.4375,0,1171254.0313,559471000,785735788,-809458,-0.07
31,56,117795530,0,52745159.75,0,96187837.1563,0,623802948,890531462,175560683.5,0,100051127,8186588.5625,0,1069707.7187,606346728,891214612,-683150,-0.02
30,57,158300790,0,51987744.25,0,33435586.8437,0,589001788,832725882,110859956.5,0,118373401,6525337.4375,0,1207796.2813,596612376,833579116,-853234,-0.07
31,58,125771978,0,53276127.75,0,100043493.1563,0,651831748,930923398,176217355.5,0,109856103,8968800.5625,0,1117361.2187,635526760,931686164,-762766,-0.02
31,59,171517174,0,51987744.25,0,35699834.8437,0,601109180,860313850,110935412.5,0,129824425,6976312.4375,0,1244464.0313,612268440,861249260,-935410,-0.07
30,60,131076426,0,53276127.75,0,101107653.1563,0,663108420,948568710,179190859.5,0,111930071,9249446.5625,0,1173173.2187,647773032,949316372,-747662,-0.02
31,61,174075830,0,54271824.25,0,36047034.8437,0,616909244,881303930,115621588.5,0,130410457,7192031.4375,0,1348856.0313,627669784,882242924,-938994,-0.07
30,62,132141610,0,55486527.75,0,101268453.1563,0,682844740,971741318,184247659.5,0,111930071,9459601.5625,0,1234349.2187,665621736,972493204,-751886,-0.02
31,63,176466774,0,56555904.25,0,51644746.8437,0,654980924,939648378,138373140.5,0,130410457,7867364.4375,0,1348856.0313,662648088,940648044,-999666,-0.07
31,64,134029290,0,57770607.75,0,139373653.1563,0,717780932,1048954502,205506475.5,0,111930071,12092273.5625,0,1234349.2187,719011304,1049774356,-819854,-0.02
29,65,184425398,0,58692624.25,0,53767546.8437,0,699156412,996041978,142724084.5,0,130410457,9159516.4375,0,1348856.0313,713430168,997073132,-1031154,-0.07
31,66,139658186,0,60054687.75,0,140021925.1563,0,756484548,1096219398,206394699.5,0,111930071,12772573.5625,0,1234349.2187,764759016,1097090708,-871310,-0.02
30,67,188077398,0,61930464.25,0,54490906.8437,0,737906108,1042404858,146313780.5,0,130518457,9737434.4375,0,1349043.5313,755581336,1043500012,-1095154,-0.07
31,68,146508618,0,63400455.75,0,140394917.1563,0,796777028,1147080966,208883051.5,0,118576455,13263521.5625,0,1235475.2187,806065640,1148024084,-943118,-0.02
30,69,200828662,0,62444304.25,0,55299706.8437,0,765295420,1083868154,146351188.5,0,142434137,10169148.4375,0,1413933.2813,784700056,1085068524,-1200370,-0.08
31,70,159481194,0,63931423.75,0,142814901.1563,0,810396868,1176624390,209023179.5,0,132170663,13707957.5625,0,1281909.7187,821424104,1177607700,-983310,-0.02
31,71,215009494,0,62444304.25,0,56859626.8437,0,772809276,1107122682,146362260.5,0,157222841,10247446.4375,0,1745013.5313,792750616,1108328428,-1205746,-0.08
30,72,164581994,0,63931423.75,0,143765781.1563,0,819306564,1191585798,214112619.5,0,134459015,13780513.5625,0,1479792.4687,828737768,1192569364,-983566,-0.02
31,73,217404438,0,64728384.25,0,57641322.8437,0,788510012,1128284154,154650804.5,0,157763257,10445204.4375,0,1748858.2813,804884632,1129492972,-1208818,-0.07
30,74,165465482,0,66141823.75,0,148242741.1563,0,856739012,1236589062,234821515.5,0,134459015,14031215.5625,0,1486750.2187,852781800,1237580052,-990990,-0.02
31,75,222166262,0,67012464.25,0,90126842.8437,0,836971324,1216276986,185984500.5,0,157763257,12584232.4375,0,1748858.2813,859441560,1217522668,-1245682,-0.07
31,76,176756778,0,68425903.75,0,174020853.1563,0,904028868,1323232262,250669867.5,0,134459015,17637153.5625,0,1486750.2187,920013032,1324265492,-1033230,-0.02
28,77,231752406,0,69075504.25,0,90394746.8437,0,868067772,1259290618,186559220.5,0,157763257,13355368.4375,0,1748858.2813,901250840,1260677868,-1387250,-0.07
31,78,180321162,0,70709983.75,0,175456773.1563,0,937029316,1363516934,251835915.5,0,134460007,18329301.5625,0,1486750.2187,958517608,1364629268,-1112334,-0.03
30,79,237272182,0,72313104.25,0,90631386.8437,0,900716220,1300933114,189837620.5,0,160216633,13894042.4375,0,1749533.2813,936735256,1302433516,-1500402,-0.07
31,80,189935818,0,74055503.75,0,175527205.1563,0,966632132,1406150406,252126347.5,0,145464647,18765573.5625,0,1536920.7187,989479144,1407372052,-1221646,-0.03
30,81,246061558,0,72826704.25,0,93107674.8437,0,922539964,1334536186,190134996.5,0,170387385,14480580.4375,0,1798110.2813,959260056,1336061676,-1525490,-0.07
31,82,197994634,0,74586223.75,0,177147141.1563,0,979728324,1429455878,252249899.5,0,152961383,19212815.5625,0,1562348.4687,1004698216,1430683924,-1228046,-0.03
31,83,249872438,0,72826704.25,0,95109530.8437,0,935890108,1353699322,192780724.5,0,171209177,14840660.4375,0,1798985.2813,974598808,1355228908,-1529586,-0.07
30,84,200352330,0,74586223.75,0,178209861.1563,0,995591492,1448739334,254959531.5,0,153141863,19520523.5625,0,1562348.4687,1020786920,1449970452,-1231118,-0.03
31,85,250676470,0,75110784.25,0,97629210.8437,0,956318268,1379735290,198305940.5,0,171241913,15223780.4375,0,1798985.2813,994669976,1381241324,-1506034,-0.07
30,86,200536330,0,76796623.75,0,185703621.1563,0,1019055172,1482091270,262077611.5,0,153141863,20085467.5625,0,1562348.4687,1046460264,1483326996,-1235726,-0.03
31,87,251476214,0,77394864.25,0,101678554.8437,0,981477820,1412027898,201148596.5,0,171241913,15731416.4375,0,1798985.2813,1023617688,1413539308,-1511410,-0.06
31,88,202430410,0,79080703.75,0,210206021.1563,0,1057651780,1549368326,283675179.5,0,153141863,21832791.5625,0,1562348.4687,1090423400,1550635028,-1266702,-0.03
28,89,257713078,0,79457904.25,0,101825498.8437,0,1017824060,1456821242,202635604.5,0,171241913,16327840.4375,0,1798985.2813,1066331800,1458336748,-1515506,-0.06
31,90,206660202,0,81364783.75,0,216033029.1563,0,1104599364,1608656646,292714155.5,0,153141863,23027991.5625,0,1562348.4687,1139509864,1609955604,-1298958,-0.03
30,91,263691062,0,82695504.25,0,102053978.8437,0,1054803132,1503244538,204392596.5,0,171389753,16873820.4375,0,1799255.2813,1110368152,1504824300,-1579762,-0.06
31,92,211987082,0,84710303.75,0,217187717.1563,0,1146082884,1659967238,294742507.5,0,157516711,23525103.5625,0,1562697.2187,1183992936,1661339156,-1371918,-0.03
30,93,269889398,0,83209104.25,0,105017498.8437,0,1096786620,1554903290,205627572.5,0,181278489,17537452.4375,0,1822234.2813,1150249368,1556515820,-1612530,-0.06
31,94,221400458,0,85241023.75,0,220900773.1563,0,1176102724,1703644422,295034027.5,0,170192103,24372503.5625,0,1621567.4687,1213924200,1705143828,-1499406,-0.04
31,95,283047894,0,83209104.25,0,107591738.8437,0,1109739452,1583588602,205641012.5,0,193355897,18017216.4375,0,1856359.2813,1166357144,1585228268,-1639666,-0.06
30,96,226101098,0,85241023.75,0,222697893.1563,0,1188791876,1722831622,298735339.5,0,172209319,24691191.5625,0,1637527.7187,1227036264,1724309012,-1477390,-0.03
31,97,284838678,0,85493184.25,0,108649210.8437,0,1129995708,1608977146,212155220.5,0,193801209,18322536.4375,0,1860914.5313,1184481432,1610621932,-1644786,-0.06
30,98,226781866,0,87451423.75,0,237385893.1563,0,1219070788,1770689542,316024267.5,0,172209319,25251771.5625,0,1637527.7187,1257060456,1772182804,-1493262,-0.03
31,99,288251606,0,87777264.25,0,113540762.8437,0,1163835324,1653405434,216507348.5,0,193801209,18906416.4375,0,1860914.5313,1224103320,1655179756,-1774322,-0.07
31,100,228115530,0,89735503.75,0,258449029.1563,0,1254021956,1830321414,330089323.5,0,172209319,26746767.5625,0,1637527.7187,1301145704,1831827988,-1506574,-0.02
28,101,292966230,0,89840304.25,0,115305882.8437,0,1200291004,1698404090,219547732.5,0,193801209,19629440.4375,0,1860914.5313,1265364632,1700204524,-1800434,-0.07
31,102,232451370,0,92019583.75,0,259468805.1563,0,1293512772,1877452038,331265003.5,0,172209319,27397935.5625,0,1637527.7187,1346515048,1879024148,-1572110,-0.02
30,103,297243382,0,93077904.25,0,115336602.8437,0,1237226428,1742884858,222001748.5,0,196088121,20124560.4375,0,1861612.0313,1304656280,1744732908,-1848050,-0.07
31,104,238578922,0,95365103.75,0,259511461.1563,0,1335927620,1929382662,333986411.5,0,182107719,27814351.5625,0,1679870.9687,1385358952,1930946836,-1564174,-0.02
30,105,305675350,0,93591504.25,0,116838042.8437,0,1274152636,1790257914,222470100.5,0,207851545,20627396.4375,0,1917803.5313,1339314072,1792181484,-1923570,-0.07
31,106,251002282,0,95895823.75,0,262132325.1563,0,1356609348,1965639430,334162347.5,0,195046215,28410879.5625,0,1725145.9687,1407917672,1967261716,-1622286,-0.02
31,107,315884374,0,93591504.25,0,118621658.8437,0,1285517244,1813615098,222523476.5,0,218856889,20940472.4375,0,1945061.0313,1351286424,1815553004,-1937906,-0.07
30,108,255902442,0,95895823.75,0,263235365.1563,0,1368106052,1983139334,338111147.5,0,197337671,28540287.5625,0,1938105.4687,1418805608,1984732180,-1592846,-0.02
31,109,318233814,0,95875584.25,0,119388474.8437,0,1301629628,1835127802,228041044.5,0,219505113,21142888.4375,0,1995715.2813,1366384280,1837069804,-1942002,-0.07
30,110,256478186,0,98106223.75,0,266389925.1563,0,1392350276,2013324294,347275499.5,0,197337671,28776731.5625,0,1938105.4687,1439589736,2014917140,-1592846,-0.02
31,111,318936854,0,98159664.25,0,121032218.8437,0,1327594684,1865723642,231705236.5,0,219505113,21396596.4375,0,1995715.2813,1393073048,1867676140,-1952498,-0.07
31,112,257759274,0,100390303.75,0,282616069.1563,0,1426900036,2067665414,363422955.5,0,197337671,29581639.5625,0,1938105.4687,1476999784,2069279764,-1614350,-0.02
29,113,321851350,0,100296384.25,0,122940186.8437,0,1362019260,1907107322,235344340.5,0,219505113,21934972.4375,0,1995715.2813,1430303640,1909084140,-1976818,-0.07
31,114,258899562,0,102674383.75,0,287326085.1563,0,1463668036,2112567814,365714795.5,0,197337671,30223275.5625,0,1938105.4687,1519006568,2114220052,-1652238,-0.02
30,115,324258006,0,103533984.25,0,124640346.8437,0,1400088252,1952520698,238349780.5,0,219538713,22423212.4375,0,1995715.2813,1472227992,1954535916,-2015218,-0.07
31,116,264845098,0,106019903.75,0,287431237.1563,0,1500155204,2158451206,367245547.5,0,203716519,30653207.5625,0,1939740.2187,1556582504,2160136980,-1685774,-0.02
30,117,331205846,0,104047584.25,0,124818906.8437,0,1429741244,1989813754,238461972.5,0,224622073,22793692.4375,0,2024176.5313,1504023192,1991925484,-2111730,-0.07
31,118,277363370,0,106550623.75,0,288775397.1563,0,1515277892,2187966982,367281067.5,0,213676327,30978703.5625,0,1979330.4687,1575762792,2189677844,-1710862,-0.02
31,119,345091734,0,104047584.25,0,125918042.8437,0,1438220220,2013277946,238467028.5,0,238407737,22921588.4375,0,2212619.0313,1513427864,2015437292,-2159346,-0.07
30,120,282420714,0,106550623.75,0,289557797.1563,0,1524452164,2202980870,371690859.5,0,216301095,31036359.5625,0,2212552.4687,1583447912,2204688404,-1707534,-0.02
31,121,347730966,0,106331664.25,0,127095546.8437,0,1451789244,2032947706,245188116.5,0,238855993,23102824.4375,0,2215450.5313,1525748376,2035111148,-2163442,-0.07
30,122,283629418,0,108761023.75,0,289840037.1563,0,1542177604,2224407814,377564523.5,0,216301095,31244139.5625,0,2212552.4687,1598799464,2226121492,-1713678,-0.02
31,123,348268310,0,108615744.25,0,128026042.8437,0,1472369084,2057279482,249493012.5,0,238855993,23317848.4375,0,2215450.5313,1545536408,2059418860,-2139378,-0.07
31,124,283967338,0,111045103.75,0,291162373.1563,0,1563001668,2249176070,379779819.5,0,216301095,31460299.5625,0,2212552.4687,1621139048,2250892564,-1716494,-0.02
28,125,348561942,0,110678784.25,0,128902330.8437,0,1492221628,2080365050,251496916.5,0,238855993,23518500.4375,0,2215450.5313,1566421656,2082508524,-2143474,-0.07
31,126,284415722,0,113329183.75,0,293379493.1563,0,1591836484,2282960390,386695019.5,0,216809383,31696183.5625,0,2212552.4687,1647272296,2284685588,-1725198,-0.02
30,127,353951958,0,113916384.25,0,129223930.8437,0,1515857852,2112950778,253626132.5,0,243188569,23760192.4375,0,2215775.0313,1592363928,2115154668,-2203890,-0.07
31,128,290429738,0,116674703.75,0,293623525.1563,0,1618219332,2318946822,388061483.5,0,227875079,31932751.5625,0,2228928.4687,1670665064,2320763156,-1816334,-0.02
30,129,368328534,0,114429984.25,0,130364410.8437,0,1526387900,2139511290,253694036.5,0,257328537,23942344.4375,0,2233535.5313,1604591256,2141789932,-2278642,-0.07
31,130,305501162,0,117205423.75,0,295140293.1563,0,1623659076,2341505542,388083179.5,0,244099783,31940839.5625,0,2528475.9687,1676673896,2343325972,-1820430,-0.02
31,131,383181142,0,114429984.25,0,131694682.8437,0,1529527996,2158834170,253699604.5,0,272945465,23943896.4375,0,2401879.5313,1608124056,2161114860,-2280690,-0.07
30,132,310613034,0,117205423.75,0,296289413.1563,0,1626208836,2350316038,390429931.5,0,247452967,31948195.5625,0,2635053.9687,1679672168,2352138516,-1822478,-0.02
31,133,386238294,0,116714064.25,0,132001210.8437,0,1532163516,2167117818,257739476.5,0,273894969,23965704.4375,0,2488826.5313,1611311512,2169400044,-2282226,-0.07
30,134,311584362,0,119415823.75,0,301554053.1563,0,1634956612,2367510022,402757611.5,0,247452967,32018243.5625,0,2652720.4687,1684454248,2369336084,-1826062,-0.02
31,135,386469014,0,118998144.25,0,143083834.8437,0,1565075900,2213627386,288062740.5,0,273894969,24269492.4375,0,2488826.5313,1627198616,2215914220,-2286834,-0.07
31,136,314134570,0,121699903.75,0,314736741.1563,0,1673371972,2423942662,420621995.5,0,247452967,32645967.5625,0,2652720.4687,1722519656,2425893652,-1950990,-0.02
28,137,387358870,0,121061184.25,0,152858298.8437,0,1593569468,2254848506,295091412.5,0,273894969,24940384.4375,0,2488826.5313,1660819352,2257234668,-2386162,-0.07
31,138,318023594,0,123983983.75,0,314925221.1563,0,1703903300,2460835334,421505131.5,0,247459911,33092211.5625,0,2652813.4687,1758156136,2462866708,-2031374,-0.02
30,139,390792470,0,124298784.25,0,153488058.8437,0,1628498108,2297078266,298550420.5,0,276865625,25318824.4375,0,2489676.0313,1696252568,2299476716,-2398450,-0.07
31,140,323164138,0,127329503.75,0,315016485.1563,0,1736131652,2501640710,422563755.5,0,255971719,33439467.5625,0,2681674.9687,1789032296,2503689492,-2048782,-0.02
30,141,399620566,0,124812384.25,0,154906938.8437,0,1653623484,2332964346,298811860.5,0,287296185,25758744.4375,0,2537733.5313,1721022104,2335426284,-2461938,-0.07
31,142,336477418,0,127860223.75,0,316712805.1563,0,1747342916,2528392198,422657835.5,0,269368135,33762507.5625,0,2717891.9687,1802049128,2530555668,-2163470,-0.03
31,143,413723862,0,124812384.25,0,156198522.8437,0,1659462332,2354198522,298830228.5,0,301787577,25788664.4375,0,2879181.0313,1727379608,2356665068,-2466546,-0.06
30,144,341886954,0,127860223.75,0,317605605.1563,0,1751565636,2538916870,424717355.5,0,272826887,33784875.5625,0,2924428.9687,1806830184,2541083924,-2167054,-0.03
31,145,416788758,0,127096464.25,0,156435610.8437,0,1665059516,2365381626,303406548.5,0,302445689,25844068.4375,0,2999186.5313,1733153944,2367849196,-2467570,-0.06
30,146,342793642,0,130070623.75,0,320386725.1563,0,1767585860,2560835590,436557675.5,0,272826887,33918623.5625,0,2940512.9687,1816760936,2563004692,-2169102,-0.03
31,147,418291478,0,129380544.25,0,202133082.8437,0,1700600508,2450406906,351002004.5,0,302445689,27910920.4375,0,2999186.5313,1768549272,2452906732,-2499826,-0.06
31,148,347727914,0,132354703.75,0,335922341.1563,0,1809978948,2625982470,446900139.5,0,272826887,35748659.5625,0,2940512.9687,1869756520,2628173076,-2190606,-0.03
28,149,421888854,0,131443584.25,0,223683674.8437,0,1729594044,2506611706,357634260.5,0,302445689,30181060.4375,0,2999186.5313,1815907992,2509167852,-2556146,-0.06
31,150,353337258,0,134638783.75,0,341904101.1563,0,1846731332,2676610054,451903083.5,0,272826887,36875831.5625,0,2940512.9687,1914253672,2678800148,-2190094,-0.03
30,151,426117654,0,134681312.25,0,226346714.8437,0,1766092220,2553239546,359231188.5,0,302445689,30915808.4375,0,2999186.5313,1860221848,2555813612,-2574066,-0.06
31,152,359203370,0,137984799.75,0,341959653.1563,0,1888223300,2727369734,454525739.5,0,278485639,37468775.5625,0,2941349.9687,1956131176,2729552660,-2182926,-0.03
30,153,437904022,0,135194912.25,0,227823194.8437,0,1801799100,2602722298,359594516.5,0,315566265,31544864.4375,0,3070735.5313,1895592600,2605369068,-2646770,-0.06
31,154,371273706,0,138515519.75,0,345455461.1563,0,1907825220,2763068934,454773995.5,0,290938439,38059767.5625,0,2994045.9687,1978523752,2765289748,-2220814,-0.03
31,155,444883926,0,135194912.25,0,232959770.8437,0,1815280316,2628319738,360112596.5,0,325175993,31923872.4375,0,3091629.0313,1910666904,2630971116,-2651378,-0.06
30,156,376797866,0,138515519.75,0,346787941.1563,0,1919210308,2781310982,457409835.5,0,293231431,38272831.5625,0,3141772.9687,1991470184,2783526164,-2215182,-0.03
31,157,447719830,0,137479488.25,0,233275226.8437,0,1831098044,2649573370,364551380.5,0,325846393,32075680.4375,0,3279363.5313,1926474392,2652227308,-2653938,-0.06
30,158,378010538,0,140726399.75,0,347448421.1563,0,1940798276,2806982662,463422059.5,0,293231431,38508079.5625,0,3145679.4687,2010867816,2809174804,-2192142,-0.03
31,159,449562454,0,139764064.25,0,238919706.8437,0,1860920252,2689167354,374960404.5,0,325846393,32372568.4375,0,3279363.5313,1955412120,2691870956,-2703602,-0.06
31,160,378778538,0,143010975.75,0,354104741.1563,0,1972230724,2848123910,469923435.5,0,293231431,38964527.5625,0,3145679.4687,2045092968,2850358036,-2234126,-0.03
29,161,451113430,0,141901248.25,0,281320026.8437,0,1891392956,2765728762,400691860.5,0,325846393,35307864.4375,0,3279363.5313,2003328152,2768453868,-2725106,-0.06
31,162,387718634,0,145295551.75,0,356039141.1563,0,2007924804,2896976902,471166891.5,0,293231431,39910935.5625,0,3145679.4687,2091736680,2899191572,-2214670,-0.03
30,163,457125078,0,145139328.25,0,281469786.8437,0,1925684156,2809419770,402008852.5,0,328419129,35939456.4375,0,3280083.5313,2042548376,2812196076,-2776306,-0.06
31,164,394347306,0,148641567.75,0,356289125.1563,0,2042630980,2941907462,471731883.5,0,301326535,40415607.5625,0,3182799.9687,2127540328,2944196884,-2289422,-0.03
30,165,468301846,0,145652928.25,0,282865626.8437,0,1950747580,2847569402,402086996.5,0,340172217,36489392.4375,0,3345971.5313,2068330136,2850425068,-2855666,-0.06
31,166,409560490,0,149172287.75,0,358374309.1563,0,2054078788,2971184646,471756267.5,0,316952647,40870231.5625,0,3230456.9687,2140754280,2973563668,-2379022,-0.03
31,167,482553174,0,145652928.25,0,284173082.8437,0,1956857276,2869237754,402110676.5,0,354716409,36557992.4375,0,3709469.5313,2075004824,2872099564,-2861810,-0.06
30,168,415130154,0,149172287.75,0,359188389.1563,0,2061247300,2984736774,475874539.5,0,320181767,40913767.5625,0,3476533.9687,2146671720,2987118356,-2381582,-0.03
